CTE;Status;Empresa A;Empresa B;Motorista A;Motorista B;Dif Empresa;Dif Motorista;Maior Diferença;Margem B;Página A;Página B
1820;OK por arredondamento;10024.33;10024.33;10410.32;10410.27;0.0;0.05;0.05;;2.0;4.0
1821;OK por arredondamento;10024.33;10024.33;10410.32;10410.27;0.0;0.05;0.05;;2.0;4.0
1822;OK;20248.8;20248.8;21028.38;21028.38;0.0;0.0;0.0;;2.0;4.0
1823;OK por arredondamento;12887.1;12887.1;13383.01;13383.25;0.0;-0.24;0.24;;2.0;4.0
1824;OK por arredondamento;10013.95;10013.95;10399.55;10399.49;0.0;0.06;0.06;;2.0;4.0
1825;OK por arredondamento;10013.95;10013.95;10399.55;10399.49;0.0;0.06;0.06;;2.0;4.0
1826;OK por arredondamento;13567.5;13567.5;14090.1;14089.85;0.0;0.25;0.25;;2.0;4.0
1827;OK por arredondamento;2096.1;2096.1;2176.68;2176.8;0.0;-0.12;0.12;;2.0;4.0
1828;OK por arredondamento;9862.48;9862.48;10242.24;10242.19;0.0;0.05;0.05;;2.0;4.0
1830;OK;11174.4;11174.4;11604.61;11604.61;0.0;0.0;0.0;;2.0;4.0
1831;OK por arredondamento;9862.48;9862.48;10242.24;10242.19;0.0;0.05;0.05;;2.0;4.0
1832;OK por arredondamento;7896.0;7896.0;8200.26;8200.0;0.0;0.26;0.26;;2.0;4.0
1833;OK;17164.8;17164.8;17825.64;17825.64;0.0;0.0;0.0;;2.0;4.0
1835;OK;13000.0;13000.0;13500.5;13500.5;0.0;0.0;0.0;;2.0;4.0
1836;OK;13000.0;13000.0;13500.5;13500.5;0.0;0.0;0.0;;2.0;4.0
1837;OK por arredondamento;5014.8;5014.8;5207.75;5207.87;0.0;-0.12;0.12;;2.0;4.0
1838;OK;13015.6;13015.6;13516.7;13516.7;0.0;0.0;0.0;;2.0;4.0
1840;OK;12152.4;12152.4;12620.27;12620.27;0.0;0.0;0.0;;2.0;8.0
1841;Divergente;8434.14;8434.14;8242.46;8758.85;0.0;-516.39;516.39;;2.0;5.0
1842;OK por arredondamento;13354.2;13354.2;13868.58;13868.34;0.0;0.24;0.24;;2.0;5.0
1844;Divergente;5823.0;5823.0;5667.72;6047.19;0.0;-379.47;379.47;;2.0;5.0
1845;Divergente;2132.1;2132.1;2013.65;2214.19;0.0;-200.54;200.54;;2.0;5.0
1846;Divergente;1412.1;1412.1;1333.65;1466.47;0.0;-132.82;132.82;;2.0;5.0
1847;OK por arredondamento;23006.5;23006.5;23892.5;23892.25;0.0;0.25;0.25;;2.0;5.0
1848;OK;11222.4;11222.4;11654.46;11654.46;0.0;0.0;0.0;;2.0;5.0
1849;OK;12120.0;12120.0;12586.62;12586.62;0.0;0.0;0.0;;2.0;5.0
1850;OK;12206.4;12206.4;12676.35;12676.35;0.0;0.0;0.0;;2.0;5.0
1851;OK;12134.4;12134.4;12601.57;12601.57;0.0;0.0;0.0;;2.0;5.0
1852;OK;12182.4;12182.4;12651.42;12651.42;0.0;0.0;0.0;;2.0;5.0
1853;OK;12211.2;12211.2;12681.33;12681.33;0.0;0.0;0.0;;2.0;5.0
1854;OK;12177.6;12177.6;12646.44;12646.44;0.0;0.0;0.0;;2.0;5.0
1855;OK;12268.8;12268.8;12741.15;12741.15;0.0;0.0;0.0;;2.0;5.0
1856;OK;12148.8;12148.8;12616.53;12616.53;0.0;0.0;0.0;;2.0;5.0
1857;OK por arredondamento;22809.1;22809.1;23687.49;23687.25;0.0;0.24;0.24;;2.0;5.0
1858;OK por arredondamento;10786.5;10786.5;11201.98;11201.78;0.0;0.2;0.2;;2.0;5.0
1859;OK;11222.4;11222.4;11654.46;11654.46;0.0;0.0;0.0;;2.0;5.0
1860;OK;12129.6;12129.6;12596.59;12596.59;0.0;0.0;0.0;;2.0;5.0
1861;OK;12110.4;12110.4;12576.65;12576.65;0.0;0.0;0.0;;2.0;6.0
1862;Divergente;10408.5;10408.5;10809.42;10408.5;0.0;400.92;400.92;;2.0;5.0
1863;OK;13468.0;13468.0;13986.52;13986.52;0.0;0.0;0.0;;2.0;6.0
1864;Divergente;9471.5;9471.5;9172.4;9836.15;0.0;-663.75;663.75;;2.0;7.0
1865;OK por arredondamento;13378.5;13378.5;13893.82;13893.57;0.0;0.25;0.25;;2.0;6.0
1866;OK;10881.6;10881.6;11300.54;11300.54;0.0;0.0;0.0;;2.0;6.0
1867;Divergente;6367.4;6367.4;6122.5;6612.54;0.0;-490.04;490.04;;2.0;6.0
1869;OK por arredondamento;16874.2;16874.2;17523.86;17523.85;0.0;0.01;0.01;;2.0;7.0
1870;Divergente;6261.1;6261.1;6076.95;6502.15;0.0;-425.2;425.2;;2.0;6.0
1871;Divergente;1506.2;1506.2;1461.9;1564.19;0.0;-102.29;102.29;;2.0;6.0
1872;OK;9600.0;9600.0;9969.6;9969.6;0.0;0.0;0.0;;2.0;6.0
1873;OK;10052.0;10052.0;10439.0;10439.0;0.0;0.0;0.0;;2.0;6.0
1874;Divergente;8890.1;8890.1;8773.13;9232.37;0.0;-459.24;459.24;;2.0;6.0
1875;OK por arredondamento;10789.2;10789.2;11204.78;11204.58;0.0;0.2;0.2;;2.0;6.0
1876;OK;12211.2;12211.2;12681.33;12681.33;0.0;0.0;0.0;;2.0;6.0
1877;OK por arredondamento;9930.6;9930.6;10313.11;10312.93;0.0;0.18;0.18;;2.0;7.0
1878;Divergente;8892.0;8892.0;8775.0;9234.34;0.0;-459.34;459.34;;2.0;6.0
1879;Divergente;6097.0;6097.0;5862.5;6331.73;0.0;-469.23;469.23;;2.0;6.0
1880;Divergente;6219.2;6219.2;5980.0;6458.64;0.0;-478.64;478.64;;3.0;6.0
1881;Divergente;8916.7;8916.7;8799.38;9259.99;0.0;-460.61;460.61;;3.0;6.0
1882;Divergente;8340.5;8340.5;8340.5;8661.61;0.0;-321.11;321.11;;3.0;6.0
1883;OK;13377.6;13377.6;13892.64;13892.64;0.0;0.0;0.0;;3.0;6.0
1884;OK;18806.4;18806.4;19530.45;19530.45;0.0;0.0;0.0;;3.0;6.0
1885;OK;17452.8;17452.8;18124.73;18124.73;0.0;0.0;0.0;;3.0;6.0
1886;OK por arredondamento;13413.6;13413.6;13930.27;13930.02;0.0;0.25;0.25;;3.0;7.0
1887;OK por arredondamento;7347.0;7347.0;7630.1;7629.86;0.0;0.24;0.24;;3.0;7.0
1888;Faltante no A;;10943.4;;11364.72;-10943.4;-11364.72;11364.72;;;7.0
1889;OK por arredondamento;7341.0;7341.0;7623.87;7623.63;0.0;0.24;0.24;;3.0;7.0
1890;OK por arredondamento;24143.4;24143.4;25073.16;25072.92;0.0;0.24;0.24;;3.0;7.0
1891;Divergente;3445.2;3445.2;3246.84;3577.84;0.0;-331.0;331.0;;3.0;7.0
1892;OK por arredondamento;24520.8;24520.8;25465.09;25464.85;0.0;0.24;0.24;;3.0;7.0
1893;OK por arredondamento;23939.4;23939.4;24861.3;24861.07;0.0;0.23;0.23;;3.0;7.0
1894;Divergente;9898.2;9898.2;9644.4;10279.28;0.0;-634.88;634.88;;3.0;7.0
1895;OK;13262.4;13262.4;13773.0;13773.0;0.0;0.0;0.0;;3.0;7.0
1896;OK;17193.6;17193.6;17855.55;17855.55;0.0;0.0;0.0;;3.0;7.0
1897;OK;11203.2;11203.2;11634.52;11634.52;0.0;0.0;0.0;;3.0;7.0
1900;OK por arredondamento;20542.5;20542.5;21333.51;21333.39;0.0;0.12;0.12;;3.0;7.0
1901;Divergente;13964.5;13964.5;13583.65;14502.13;0.0;-918.48;918.48;;3.0;7.0
1902;OK por arredondamento;17653.2;17653.2;18333.04;18332.85;0.0;0.19;0.19;;3.0;7.0
1904;Divergente;8463.6;8463.6;8463.6;8789.45;0.0;-325.85;325.85;;3.0;7.0
1905;Divergente;7992.0;7992.0;7592.4;8299.69;0.0;-707.29;707.29;;3.0;7.0
1906;OK por arredondamento;20758.3;20758.3;21557.62;21557.49;0.0;0.13;0.13;;3.0;8.0
1909;Divergente;7406.2;7406.2;7172.32;7691.34;0.0;-519.02;519.02;;3.0;8.0
1910;Divergente;7282.7;7282.7;7052.72;7563.08;0.0;-510.36;510.36;;3.0;8.0
1911;OK por arredondamento;9614.5;9614.5;9984.78;9984.66;0.0;0.12;0.12;;3.0;8.0
1912;OK por arredondamento;10598.5;10598.5;11006.67;11006.54;0.0;0.13;0.13;;3.0;8.0
1913;OK por arredondamento;16195.0;16195.0;16818.71;16818.51;0.0;0.2;0.2;;3.0;8.0
1914;OK por arredondamento;24112.8;24112.8;25041.38;25041.14;0.0;0.24;0.24;;3.0;8.0
1915;OK;23240.0;23240.0;24134.74;24134.74;0.0;0.0;0.0;;3.0;8.0
1918;Divergente;5244.6;5244.6;4982.37;5446.52;0.0;-464.15;464.15;;3.0;8.0
1919;Divergente;2148.0;2148.0;2040.6;2230.7;0.0;-190.1;190.1;;3.0;8.0
1920;OK;23280.0;23280.0;24176.28;24176.28;0.0;0.0;0.0;;3.0;8.0
1922;OK;9770.0;9770.0;10146.15;10146.15;0.0;0.0;0.0;;3.0;8.0
1923;OK;9742.0;9742.0;10117.07;10117.07;0.0;0.0;0.0;;3.0;8.0
1925;OK;9742.0;9742.0;10117.07;10117.07;0.0;0.0;0.0;;3.0;8.0
1926;OK;9770.0;9770.0;10146.15;10146.15;0.0;0.0;0.0;;3.0;8.0
1928;OK;25817.51;25817.51;26811.48;26811.48;0.0;0.0;0.0;;3.0;8.0
1929;OK;12129.6;12129.6;12596.59;12596.59;0.0;0.0;0.0;;3.0;8.0
1930;OK;2601.6;2601.6;2701.76;2701.76;0.0;0.0;0.0;;3.0;8.0
1931;OK;9532.8;9532.8;9899.81;9899.81;0.0;0.0;0.0;;3.0;8.0
1933;OK por arredondamento;8892.0;8892.0;9234.11;9234.34;0.0;-0.23;0.23;;3.0;9.0
1934;OK;12148.8;12148.8;12616.53;12616.53;0.0;0.0;0.0;;3.0;9.0
1935;OK;13525.2;13525.2;14045.92;14045.92;0.0;0.0;0.0;;3.0;9.0
1936;OK;12048.0;12048.0;12511.85;12511.85;0.0;0.0;0.0;;3.0;9.0
1937;OK;12076.8;12076.8;12541.76;12541.76;0.0;0.0;0.0;;3.0;9.0
1938;OK;9465.6;9465.6;9830.03;9830.03;0.0;0.0;0.0;;3.0;9.0
1939;OK;9456.0;9456.0;9820.06;9820.06;0.0;0.0;0.0;;3.0;9.0
1940;OK por arredondamento;24651.9;24651.9;25601.25;25601.0;0.0;0.25;0.25;;3.0;9.0
1941;OK;8348.8;8348.8;8670.23;8670.23;0.0;0.0;0.0;;3.0;9.0
1942;Divergente;2788.0;2788.0;2607.6;2895.34;0.0;-287.74;287.74;;3.0;9.0
1943;OK;12144.0;12144.0;12611.54;12611.54;0.0;0.0;0.0;;3.0;9.0
1944;OK;12620.4;12620.4;13106.29;13106.29;0.0;0.0;0.0;;3.0;9.0
1945;OK;13169.0;13169.0;13676.01;13676.01;0.0;0.0;0.0;;3.0;9.0
1946;OK por arredondamento;23827.2;23827.2;24744.78;24744.55;0.0;0.23;0.23;;3.0;9.0
1947;OK;9350.4;9350.4;9710.39;9710.39;0.0;0.0;0.0;;3.0;9.0
1949;OK;12823.2;12823.2;13316.89;13316.89;0.0;0.0;0.0;;3.0;9.0
